image,ground_truth,condition,probability_ai,binary_label,verdict
chelsea (REAL),REAL,crop_0.7,0.0034,REAL,likely_real
chelsea (REAL),REAL,screenshot,0.0107,REAL,likely_real
horse (REAL),REAL,jpeg_q90,0.0007,REAL,likely_real
horse (REAL),REAL,jpeg_q70,0.0008,REAL,likely_real
horse (REAL),REAL,jpeg_q50,0.0007,REAL,likely_real
horse (REAL),REAL,resize_0.5,0.0007,REAL,likely_real
horse (REAL),REAL,resize_1.5,0.0007,REAL,likely_real
horse (REAL),REAL,blur_r1,0.0007,REAL,likely_real
horse (REAL),REAL,noise_s10,0.0676,REAL,likely_real
horse (REAL),REAL,brightness_0.8,0.0007,REAL,likely_real
horse (REAL),REAL,brightness_1.2,0.0007,REAL,likely_real
horse (REAL),REAL,contrast_0.8,0.0007,REAL,likely_real
horse (REAL),REAL,contrast_1.2,0.0007,REAL,likely_real
horse (REAL),REAL,crop_0.7,0.0007,REAL,likely_real
horse (REAL),REAL,screenshot,0.0007,REAL,likely_real
